speciesid,populationid,Species,Population/Stock,Status,HUC8,Basin Name
1057,408,"Abalone, Black",California,NMFS Endangered,99999999,N/A
1056,55,"Abalone, white",California,NMFS Endangered,NULL,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100205,Alsea
1028,427,Eulachon,Southern DPS,NMFS Threatened,17080006,Lower Columbia
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100201,Necanicum
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100206,Siuslaw
1028,427,Eulachon,Southern DPS,NMFS Threatened,17080003,Lower Columbia-Clatskanie
1028,427,Eulachon,Southern DPS,NMFS Threatened,17090012,Lower Willamette
1028,427,Eulachon,Southern DPS,NMFS Threatened,17080001,Lower Columbia-Sandy
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100207,Siltcoos
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100303,Umpqua
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100304,Coos
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100305,Coquille
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100306,Sixes
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100310,Lower Rogue
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100312,Chetco
1028,427,Eulachon,Southern DPS,NMFS Threatened,18010101,Smith River
1028,427,Eulachon,Southern DPS,NMFS Threatened,18010209,Lower Klamath River
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100203,Wilson-Trask-Nestucca
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100202,Nehalem
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100204,Siletz-Yaquina
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110004,Nooksack
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110002,Strait Of Georgia
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110003,San Juan Islands
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110007,Lower Skagit
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110021,Crescent-Hoko
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100101,Hoh-Quillayute
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110019,Kitsap
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110008,Stillaguamish
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110020,Dungeness-Elwha
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110011,Snohomish
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110017,Skokomish
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100104,Lower Chehalis
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110013,Duwamish
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110014,Puyallup
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110015,Nisqually
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110016,Deschutes
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100105,Grays Harbor
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110018,Hood Canal
1028,427,Eulachon,Southern DPS,NMFS Threatened,17110012,Lake Washington
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100102,Queets-Quinault
1028,427,Eulachon,Southern DPS,NMFS Threatened,17080005,Cowlitz
1028,427,Eulachon,Southern DPS,NMFS Threatened,17100106,Willapa
1028,427,Eulachon,Southern DPS,NMFS Threatened,17080002,Lewis
1028,427,Eulachon,Southern DPS,NMFS Threatened,18010102,Mad-Redwood
241,935,"Rockfish, Bocaccio",Puget Sound/Georgia Basin DPS,NMFS Endangered,NULL,NULL
254,936,"Rockfish, Yelloweye",Puget Sound/Georgia Basin DPS,NMFS Threatened,NULL,NULL
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18050006,San Francisco Coastal South
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18050005,Tomales-Drake Bays
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010102,Mad-Redwood
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010103,Upper Eel
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010104,Middle Fork Eel
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010105,Lower Eel
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010106,South Fork Eel
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010107,Mattole
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010108,Big-Navarro-Garcia
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010109,Gualala-Salmon
1,412,"Salmon, Chinook",California Coastal,NMFS Threatened,18010110,Russian
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020101,Sacramento-Lower Cow-Lower Clear
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020102,Lower Cottonwood
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020103,Sacramento-Lower Thomes
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020104,Sacramento-Stone Corral
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020105,Lower Butte
1,97,"Salmon, Chinook",Central Valley spring-run,NMFS Threatened,18020106,Lower Feather
