Species,LifeStage,Production,abundance
Puget Sound Chinook salmon,Adult,Natural,23371
Puget Sound Chinook salmon,Adult,Listed Hatchery,23232
Puget Sound Chinook salmon,Juvenile,Natural,3728240
Puget Sound Chinook salmon,Juvenile,Listed Hatchery Intact Adipose,8280000
Puget Sound Chinook salmon,Juvenile,Listed Hatchery Adipose Clip,26192500
Puget Sound steelhead,Adult,Natural,19079
Puget Sound steelhead,Adult,Listed Hatchery,735
Puget Sound steelhead,Juvenile,Natural,2253842
Puget Sound steelhead,Juvenile,Listed Hatchery Intact Adipose,87500
Puget Sound steelhead,Juvenile,Listed Hatchery Adipose Clip,186000
Puget Sound/Georgia Basin DPS bocaccio,Adult,Natural,4606
Puget Sound/Georgia Basin DPS yelloweye rockfish,Adult,Natural,114494
Hood Canal summer-run chum salmon,Adult,Natural,28117
Hood Canal summer-run chum salmon,Adult,Listed Hatchery,881
Hood Canal summer-run chum salmon,Juvenile,Natural,4240958
Hood Canal summer-run chum salmon,Juvenile,Listed Hatchery Intact Adipose,150000
Ozette Lake sockeye salmon,Adult,Natural,5876
Ozette Lake sockeye salmon,Adult,Listed Hatchery,309
Ozette Lake sockeye salmon,Juvenile,Natural,1273337
Ozette Lake sockeye salmon,Juvenile,Listed Hatchery Intact Adipose,259250
Ozette Lake sockeye salmon,Juvenile,Listed Hatchery Adipose Clip,45750
Upper Columbia River spring-run Chinook salmon,Adult,Natural,813
Upper Columbia River spring-run Chinook salmon,Adult,Listed Hatchery,1140
Upper Columbia River spring-run Chinook salmon,Juvenile,Natural,518360
Upper Columbia River spring-run Chinook salmon,Juvenile,Listed Hatchery Intact Adipose,443774
Upper Columbia River spring-run Chinook salmon,Juvenile,Listed Hatchery Adipose Clip,591769
Upper Columbia River steelhead,Adult,Natural,1465
Upper Columbia River steelhead,Adult,Listed Hatchery,2893
Upper Columbia River steelhead,Juvenile,Natural,161936
Upper Columbia River steelhead,Juvenile,Listed Hatchery Intact Adipose,132453
Upper Columbia River steelhead,Juvenile,Listed Hatchery Adipose Clip,743457
Middle Columbia River steelhead,Adult,Natural,13598
Middle Columbia River steelhead,Adult,Listed Hatchery,713
Middle Columbia River steelhead,Juvenile,Natural,375923
Middle Columbia River steelhead,Juvenile,Listed Hatchery Intact Adipose,115610
Middle Columbia River steelhead,Juvenile,Listed Hatchery Adipose Clip,432003
Snake River spring/summer-run Chinook salmon,Adult,Natural,4419
Snake River spring/summer-run Chinook salmon,Adult,Listed Hatchery,2822
Snake River spring/summer-run Chinook salmon,Juvenile,Natural,822632
Snake River spring/summer-run Chinook salmon,Juvenile,Listed Hatchery Intact Adipose,728543
Snake River spring/summer-run Chinook salmon,Juvenile,Listed Hatchery Adipose Clip,4747112
Snake River fall-run Chinook salmon,Adult,Natural,7262
Snake River fall-run Chinook salmon,Adult,Listed Hatchery,14879
Snake River fall-run Chinook salmon,Juvenile,Natural,742699
Snake River fall-run Chinook salmon,Juvenile,Listed Hatchery Intact Adipose,2954366
Snake River fall-run Chinook salmon,Juvenile,Listed Hatchery Adipose Clip,2570139
Snake River Basin steelhead,Adult,Natural,9965
Snake River Basin steelhead,Adult,Listed Hatchery,3285
Snake River Basin steelhead,Juvenile,Natural,790184
Snake River Basin steelhead,Juvenile,Listed Hatchery Intact Adipose,496078
Snake River Basin steelhead,Juvenile,Listed Hatchery Adipose Clip,3135597
Snake River sockeye salmon,Adult,Natural,16
Snake River sockeye salmon,Adult,Listed Hatchery,97
