speciesid,populationid,Species,Population/Stock,Status,Freshwater,Marine,HUC8,Basin Name,Default Run
1057,408,"Abalone, Black",California,NMFS Endangered,No,Yes,99999999,N/A,NULL
1056,55,"Abalone, white",California,NMFS Endangered,No,Yes,NULL,NULL,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100205,Alsea,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17080006,Lower Columbia,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100201,Necanicum,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100206,Siuslaw,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17080003,Lower Columbia-Clatskanie,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17090012,Lower Willamette,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17080001,Lower Columbia-Sandy,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100207,Siltcoos,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100303,Umpqua,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100304,Coos,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100305,Coquille,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100306,Sixes,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100310,Lower Rogue,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100312,Chetco,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,18010101,Smith River,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,18010209,Lower Klamath River,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100203,Wilson-Trask-Nestucca,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100202,Nehalem,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100204,Siletz-Yaquina,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110004,Nooksack,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110002,Strait Of Georgia,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110003,San Juan Islands,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110007,Lower Skagit,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110021,Crescent-Hoko,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100101,Hoh-Quillayute,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110019,Kitsap,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110008,Stillaguamish,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110020,Dungeness-Elwha,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110011,Snohomish,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110017,Skokomish,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100104,Lower Chehalis,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110013,Duwamish,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110014,Puyallup,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110015,Nisqually,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110016,Deschutes,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100105,Grays Harbor,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110018,Hood Canal,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17110012,Lake Washington,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100102,Queets-Quinault,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17080005,Cowlitz,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17100106,Willapa,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,17080002,Lewis,NULL
1028,427,Eulachon,Southern DPS,NMFS Threatened,Yes,Yes,18010102,Mad-Redwood,NULL
241,935,"Rockfish, Bocaccio",Puget Sound/Georgia Basin DPS,NMFS Endangered,No,Yes,NULL,NULL,NULL
254,936,"Rockfish, Yelloweye",Puget Sound/Georgia Basin DPS,NMFS Threatened,No,Yes,NULL,NULL,NULL
