"","FileNumber","ResultCode","AccountStatus","PermitStatus","DateIssued","DateExpired","AnnualTimeStart","AnnualTimeEnd","ProjectTitle","FirstName","LastName","Organization","HUCNumber","WaterbodyName","BasinName","StreamName","LocationDescription","CommonName","Population","Run","Production","LifeStage","Sex","TakeAction","CaptureMethod","ExpTake","IndMort","Species"
"1","1124 - 6R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Six ongoing research programs (tasks) conducted by the Idaho Department of Fish and Game","James","Fredericks","Idaho Department of Fish and Game",99999999,"N/A","N/A","Snake River, Clearwater River and Salmon River and their tributaries.","Snake River, Clearwater River and Salmon River and their tributaries including cooperative studies that are undertaken with the states of Oregon and Washington.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Capture/Handle/Release Animal","Trap, Screw",50,1,"Snake River spring/summer-run Chinook salmon"
"2","1124 - 6R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Six ongoing research programs (tasks) conducted by the Idaho Department of Fish and Game","James","Fredericks","Idaho Department of Fish and Game",99999999,"N/A","N/A","Snake River, Clearwater River and Salmon River and their tributaries.","Snake River, Clearwater River and Salmon River and their tributaries including cooperative studies that are undertaken with the states of Oregon and Washington.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Natural","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Trap, Screw",8600,86,"Snake River spring/summer-run Chinook salmon"
"3","1124 - 6R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Six ongoing research programs (tasks) conducted by the Idaho Department of Fish and Game","James","Fredericks","Idaho Department of Fish and Game",99999999,"N/A","N/A","Snake River, Clearwater River and Salmon River and their tributaries.","Snake River, Clearwater River and Salmon River and their tributaries including cooperative studies that are undertaken with the states of Oregon and Washington.","sockeye salmon","Snake River","N/A","Natural","Adult","Male and Female","Capture/Handle/Release Animal","Trap, Screw",2,0,"Snake River sockeye salmon"
"4","1124 - 6R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Six ongoing research programs (tasks) conducted by the Idaho Department of Fish and Game","James","Fredericks","Idaho Department of Fish and Game",99999999,"N/A","N/A","Snake River, Clearwater River and Salmon River and their tributaries.","Snake River, Clearwater River and Salmon River and their tributaries including cooperative studies that are undertaken with the states of Oregon and Washington.","steelhead","Snake River Basin","Summer","Natural","Adult","Male and Female","Capture/Handle/Release Animal","Trap, Screw",5,0,"Snake River Basin steelhead"
"5","1124 - 6R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Six ongoing research programs (tasks) conducted by the Idaho Department of Fish and Game","James","Fredericks","Idaho Department of Fish and Game",99999999,"N/A","N/A","Snake River, Clearwater River and Salmon River and their tributaries.","Snake River, Clearwater River and Salmon River and their tributaries including cooperative studies that are undertaken with the states of Oregon and Washington.","steelhead","Snake River Basin","Summer","Natural","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Trap, Screw",1000,10,"Snake River Basin steelhead"
"6","1127 - 5R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-20,2023-12-31,2019-05-20,2023-12-31,"Renew: Study to gather information on wild and naturally spawning stocks, review impacts of the existing and proposed hatchery systems, and coordinate supplementation activities based on data from naturally spawning stocks.","Kurt","Tardy","Shoshone-Bannock Tribes Fisheries Department",99999999,"N/A","N/A","Salmon River Basin, East Fork and Valley Creek","Screw traps located in Salmon River Basin, East Fork and Valley Creek","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Intact Adipose","Juvenile","Male and Female","Capture/Handle/Release Animal","Trap, Screw",550,20,"Snake River spring/summer-run Chinook salmon"
"7","1127 - 5R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-20,2023-12-31,2019-05-20,2023-12-31,"Renew: Study to gather information on wild and naturally spawning stocks, review impacts of the existing and proposed hatchery systems, and coordinate supplementation activities based on data from naturally spawning stocks.","Kurt","Tardy","Shoshone-Bannock Tribes Fisheries Department",99999999,"N/A","N/A","Salmon River Basin, East Fork and Valley Creek","Screw traps located in Salmon River Basin, East Fork and Valley Creek","steelhead","Snake River Basin","Summer","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Capture/Handle/Release Animal","Trap, Screw",100,3,"Snake River Basin steelhead"
"8","1134 - 7R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Modification: Assess the status of Chinook salmon and steelhead in the Snake, Salmon, Clearwater, Imnaha, and Grande Ronde river basins.","Robert","Lothrop","Columbia River Inter-Tribal Fish Commission",99999999,"N/A","N/A","Snake River Basin","Study 2","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Intact Adipose","Adult","Unknown","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Hand and/or Dip Net",178,1,"Snake River spring/summer-run Chinook salmon"
"9","1134 - 7R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Modification: Assess the status of Chinook salmon and steelhead in the Snake, Salmon, Clearwater, Imnaha, and Grande Ronde river basins.","Robert","Lothrop","Columbia River Inter-Tribal Fish Commission",99999999,"N/A","N/A","Snake River Basin","Study 4","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Intact Adipose","Juvenile","Unknown","Capture/Mark, Tag, Sample Tissue/Release Live Animal","N/A",715,7,"Snake River spring/summer-run Chinook salmon"
"10","1134 - 7R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Modification: Assess the status of Chinook salmon and steelhead in the Snake, Salmon, Clearwater, Imnaha, and Grande Ronde river basins.","Robert","Lothrop","Columbia River Inter-Tribal Fish Commission",99999999,"N/A","N/A","Snake River Basin","Study 4","steelhead","Snake River Basin","Summer","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Electrofishing, Backpack",8000,250,"Snake River Basin steelhead"
"11","1134 - 7R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Modification: Assess the status of Chinook salmon and steelhead in the Snake, Salmon, Clearwater, Imnaha, and Grande Ronde river basins.","Robert","Lothrop","Columbia River Inter-Tribal Fish Commission",99999999,"N/A","N/A","Snake River Basin","Study 5","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Intact Adipose","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Trap, Screw",3500,21,"Snake River spring/summer-run Chinook salmon"
"12","1134 - 7R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Modification: Assess the status of Chinook salmon and steelhead in the Snake, Salmon, Clearwater, Imnaha, and Grande Ronde river basins.","Robert","Lothrop","Columbia River Inter-Tribal Fish Commission",99999999,"N/A","N/A","Snake River Basin","Study 5","steelhead","Snake River Basin","N/A","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Capture/Handle/Release Animal",NA,50000,500,"Snake River Basin steelhead"
"13","1134 - 7R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Modification: Assess the status of Chinook salmon and steelhead in the Snake, Salmon, Clearwater, Imnaha, and Grande Ronde river basins.","Robert","Lothrop","Columbia River Inter-Tribal Fish Commission",99999999,"N/A","N/A","Snake River Basin","Study 5","steelhead","Snake River Basin","Summer","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Trap, Screw",50000,250,"Snake River Basin steelhead"
"14","13380 - 3R","NMFS 10a1A Salmon","Application Complete","Issued",2018-04-16,2022-12-31,2018-04-16,2022-12-31,"Renew: Importance of Biotic and Abiotic features of Salmonid Habitat:  Implications for Juvenile Chinook Salmon and Steelhead Growth and Survival","Beth","Sanderson","NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Salmon River Basin","Various streams in Idaho","steelhead","Snake River Basin","Summer","Natural","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Electrofishing, Backpack",1000,30,"Snake River Basin steelhead"
"15","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","Chinook salmon","Central Valley spring-run","Spring","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Intentional (Directed) Mortality","Seine, Beach",10,0,"Central Valley spring-run Chinook salmon"
"16","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","Chinook salmon","Central Valley spring-run","Spring","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Seine, Beach",20,1,"Central Valley spring-run Chinook salmon"
"17","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","Chinook salmon","Sacramento River winter-run","Winter","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Intentional (Directed) Mortality","Seine, Beach",5,0,"Sacramento River winter-run Chinook salmon"
"18","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","Chinook salmon","Sacramento River winter-run","Winter","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Seine, Beach",10,1,"Sacramento River winter-run Chinook salmon"
